system:index,LST_Day,LST_Night,especie,fecha,satelite,.geo
1_1_1_2023_09_30,15.42942168674702,-0.5270120481927473,pino,2023-09-30,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2023_10_08,20.02874010327025,-0.2041067125645188,pino,2023-10-08,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2023_10_16,24.288423407917406,2.5369053356282563,pino,2023-10-16,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2023_10_24,25.60045094664375,2.128719449225508,pino,2023-10-24,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2023_11_01,18.951693631669567,2.610337349397621,pino,2023-11-01,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2023_11_09,22.031734939759072,1.1956179001721512,pino,2023-11-09,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2023_11_17,21.610165232358042,3.030846815834791,pino,2023-11-17,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2023_11_25,26.115879518072322,6.425345955249602,pino,2023-11-25,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2023_12_03,28.961290877796937,5.450757314974211,pino,2023-12-03,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2023_12_11,26.387886402753917,3.2976626506024345,pino,2023-12-11,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2023_12_19,31.868767641996584,6.9219862306368665,pino,2023-12-19,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2023_12_27,32.61537005163514,10.542640275387289,pino,2023-12-27,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2024_01_01,33.54265404475046,8.543500860585223,pino,2024-01-01,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2024_01_09,31.512030981067166,6.3869432013769645,pino,2024-01-09,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2024_01_17,38.09620309810674,10.962956970740136,pino,2024-01-17,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2024_01_25,36.42571084337352,11.392519793459586,pino,2024-01-25,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2024_02_02,34.45898450946647,9.984526678141176,pino,2024-02-02,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2024_02_10,36.26624784853703,10.56215146299487,pino,2024-02-10,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2024_02_18,34.47339414802069,9.03000000000003,pino,2024-02-18,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2024_02_26,28.91822719449228,6.528581755593834,pino,2024-02-26,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2024_03_05,26.82734251290881,6.669001721170427,pino,2024-03-05,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
